first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product
True,A,2011,2,0,0,LABOR HIST.,2016,0,Post
True,A,2011,7,0.527950617283951,0,ARCH. PHYS. MED. REHABIL.,2017,0,Post
True,A,2011,1,0,0,DES. CULT.,2012,0,Post
True,A,2011,15,0,0,NAT. BIOTECHNOL.,2017,0,Post
True,A,2011,3,0.66215873015873,0,GAIT POSTURE,2017,0,Post
True,A,2011,1,0,0,INT. J. INTEGR. CARE,2012,0,Post
True,A,2011,3,0.326450980392157,0,IEEE J. SEL. TOP. SIGNAL PROCESS.,2016,0,Post
True,A,2011,2,0,0,LABOR HIST.,2016,0,Post
True,A,2011,2,0,0,RES. PRACT. PERS. SEV. DISABIL.,2016,0,Post
True,A,2011,4,0.405539325842697,0,COMMUNITY COLL. J. RES. PRACT.,2015,0,Post
True,A,2011,2,0,0,J. CARD. FAIL.,2017,0,Post
True,A,2011,3,0.446285714285714,1,J. INF. PROCESS. SYST.,2017,1,Post
True,A,2011,4,0.587227272727273,1,COMPUT. ANIMAT. VIRTUAL WORLDS,2014,0.25,Post
True,A,2011,3,0.327195121951219,1,ANN. MATH. ARTIF. INTELL.,2015,0.333333333333333,Post
True,A,2011,1,0.03525,1,TECHNOL. CULT.,2015,0.333333333333333,Post
True,A,2011,2,0.18578813559322,1,J. MANUF. SCI. ENG.-TRANS. ASME,2016,0.5,Post
True,A,2011,1,0,1,NATURE,2015,0.333333333333333,Post
True,A,2011,1,0,1,ISSUES SCI. TECHNOL.,2017,1,Post
True,A,2011,3,0.36004347826087,1,IEEE INTELL. SYST.,2017,1,Post
True,A,2011,1,0.254291666666667,1,J. RESPONSIBLE INNOV.,2015,0.333333333333333,Post
True,A,2011,2,0.32392,1,NANOETHICS,2012,0.166666666666667,Post
True,A,2011,3,0.292181818181818,2,REV. RES. EDUC.,2016,1,Post
True,A,2011,1,0.440735294117647,2,MONASH BIOETH. REV.,2015,0.666666666666667,Post
